bar.eqn,8,1099,4133
bsort.eqn,42,874,959
cavlc.eqn,11,617,856
ctrl.eqn,5,120,94
dec.eqn,3,304,0
dsort.eqn,8,772,650
hd01.eqn,5,102,0
hd03.eqn,5,27,31
hd04.eqn,8,79,74
hd05.eqn,7,113,131
hd06.eqn,6,179,168
hd07.eqn,3,14,15
hd08.eqn,5,19,9
hd09.eqn,11,156,108
hd10.eqn,5,38,6
hd11.eqn,14,548,266
i2c.eqn,10,1109,955
int2float.eqn,8,232,282
isort.eqn,42,874,959
msort.eqn,42,874,959
osort.eqn,25,508,897
router.eqn,9,208,174
